image,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
39, 0.5419747716398434, 0.7029619181946404, 0.6968680089485458, 0.7091633466135459, 0.7029619181946403, 0.020566406, 4, 4, 18, 18, 4, 4, 0, 0
44, 0.4058553386911596, 0.5773785218456513, 0.5624502784407319, 0.5931208053691275, 0.5773785218456513, 0.020214844, -5, 5, -124, 124, 3, 3, -2, 2
28, 0.47058823529411764, 0.64, 0.7049808429118773, 0.5859872611464968, 0.6399999999999999, 0.038408205, 16, 16, -203, 203, 35, 35, -4, 4
36, 0.5455529496662457, 0.7059647484533675, 0.7314949201741655, 0.682156553124295, 0.7059647484533675, 0.02459961, -13, 13, -102, 102, 0, 0, 1, 1
32, 0.5799475753604194, 0.7341352136043136, 0.6857807051530415, 0.7898259705488622, 0.7341352136043136, 0.012519531, 8, 8, 116, 116, 12, 12, 0, 0
40, 0.6177461624859603, 0.7637121036797038, 0.7192676547515258, 0.8140108534780464, 0.7637121036797038, 0.009970703, 1, 1, 76, 76, 1, 1, 0, 0
46, 0.4981959478212601, 0.6650611337532419, 0.7835006547359232, 0.577727711618925, 0.6650611337532419, 0.01765625, -9, 9, -205, 205, 1, 1, -1, 1
37, 0.5043656908063687, 0.6705360191191533, 0.6997624703087886, 0.6436530478479353, 0.6705360191191532, 0.028271485, -18, 18, -165, 165, 7, 7, 0, 0
25, 0.31018078020932444, 0.4734931009440813, 0.629951690821256, 0.37929028504944734, 0.4734931009440813, 0.014160156, -7, 7, -136, 136, -4, 4, 0, 0
43, 0.4384684147794994, 0.6096323148627654, 0.6307329618516931, 0.5898977751052316, 0.6096323148627655, 0.03680664, -27, 27, -517, 517, -9, 9, -1, 1
34, 0.5269724125812687, 0.6902186421173763, 0.6707671661820622, 0.7108319506992178, 0.6902186421173763, 0.026289063, 15, 15, -15, 15, 21, 21, 1, 1
38, 0.4095634095634096, 0.5811209439528023, 0.6487376509330406, 0.5262689225289403, 0.5811209439528024, 0.016640626, -5, 5, -121, 121, 2, 2, -1, 1
48, 0.5666492420282279, 0.7233900567233901, 0.7270288397048961, 0.7197875166002656, 0.7233900567233902, 0.008095703, -5, 5, 21, 21, -2, 2, -1, 1
49, 0.48757396449704143, 0.6555290373906125, 0.7566574839302111, 0.5782456140350877, 0.6555290373906125, 0.008457031, -11, 11, -90, 90, -7, 7, -1, 1
35, 0.4950564971751412, 0.6622579121398205, 0.6865817825661117, 0.6395985401459854, 0.6622579121398205, 0.027929688, -2, 2, -160, 160, 13, 13, -2, 2
42, 0.5361816782140107, 0.6980706589827111, 0.6283265674334686, 0.7852311161217588, 0.698070658982711, 0.023535157, -19, 19, -56, 56, 1, 1, -2, 2
47, 0.23817567567567569, 0.38472032742155526, 0.9657534246575342, 0.2402044293015332, 0.38472032742155526, 0.004404297, -7, 7, -74, 74, -7, 7, 0, 0
30, 0.49490634242523823, 0.6621235436359639, 0.6446917808219178, 0.6805241753276096, 0.6621235436359639, 0.030019531, 2, 2, -116, 116, 15, 15, -1, 1
33, 0.4889354066985646, 0.6567583852179153, 0.6767384105960265, 0.6379243074522044, 0.6567583852179152, 0.016689453, 9, 9, 26, 26, 7, 7, 1, 1
64,0.5865842055185537, 0.7394302848575712, 0.8325455773126266, 0.6650485436893204, 0.7394302848575712, 0.008486328, 1, 1, -47, 47, 4, 4, 1, 1
50,0.36836573830793484, 0.5384024577572964, 0.6792635658914729, 0.44592875318066155, 0.5384024577572964, 0.011738282, 0, 0, -68, 68, 1, 1, -1, 1
72,0.49283878075651855, 0.6602706027060271, 0.6953367875647668, 0.6285714285714286, 0.660270602706027, 0.013486329, -3, 3, -131, 131, 0, 0, -1, 1
62,0.41368584758942456, 0.5852585258525853, 0.588495575221239, 0.5820568927789934, 0.5852585258525853, 0.007363281, -18, 18, -29, 29, -7, 7, 0, 0
65,0.5285266457680251, 0.6915504511894995, 0.7460176991150442, 0.6444954128440367, 0.6915504511894995, 0.00734375, 5, 5, 20, 20, 3, 3, 1, 1
73,0.6344591705857204, 0.77635364896678, 0.8065217391304348, 0.7483610690872415, 0.7763536489667799, 0.00834961, -3, 3, -78, 78, 7, 7, -3, 3
66,0.3910306845003934, 0.5622171945701357, 0.7202898550724638, 0.461038961038961, 0.5622171945701357, 0.0075585935, -5, 5, -67, 67, -2, 2, -1, 1
51,0.0013360053440213762, 0.00266844563042028, 0.0036900369003690036, 0.0020898641588296763, 0.0026684456304202804, 0.014599609, -7, 7, -69, 69, -4, 4, 0, 0
59,0.2976, 0.45869297163995065, 0.3987138263665595, 0.5399129172714079, 0.4586929716399507, 0.017148437, -8, 8, 120, 120, -15, 15, -1, 1
53,0.47676991150442477, 0.6456928838951311, 0.7574692442882249, 0.5626631853785901, 0.645692883895131, 0.0046191406, 1, 1, -24, 24, 4, 4, -1, 1
71,0.5006067961165048, 0.6672058228871816, 0.646551724137931, 0.6892230576441103, 0.6672058228871816, 0.008037109, 1, 1, 49, 49, -1, 1, -1, 1
61,0.4454497072911123, 0.6163475699558174, 0.5066585956416465, 0.7866541353383458, 0.6163475699558173, 0.030527344, -7, 7, -71, 71, -7, 7, -2, 2
54,0.48782608695652174, 0.6557568673290474, 0.7770083102493075, 0.5672396359959555, 0.6557568673290473, 0.005751953, -3, 3, -43, 43, -3, 3, 0, 0
60,0.02213778291756154, 0.04331663164700178, 0.7613636363636364, 0.022292463816336715, 0.04331663164700177, 0.057802733, -33, 33, -1776, 1776, 1, 1, -2, 2
52,0.2347417840375587, 0.38022813688212925, 0.8, 0.24937655860349128, 0.38022813688212925, 0.0063671875, -10, 10, -92, 92, -2, 2, -2, 2
70,0.5332690453230472, 0.6955974842767295, 0.8667711598746082, 0.5808823529411765, 0.6955974842767295, 0.0047265626, -4, 4, -34, 34, 5, 5, -2, 2
